,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender
428,,9,repaid,furniture,1313,89,10 years,1,single,none,23 years,other,20,none,own,1,0,1,,yes,skilled employee,male
429,-50,18,critical,repairs,1190,70,,2,,none,13 years,unknown/none,55,none,for free,3,1,2,,yes,unemployed non-resident,female
430,,5,repaid,business,3448,3,7 years,1,single,none,14 years,real estate,74,none,own,1,0,1,,yes,unskilled resident,male
431,92,24,repaid,others,11328,22,2 years,2,single,co-applicant,2 years,other,29,bank,own,2,1,1,+2345919406,yes,mangement self-employed,male
432,-47,6,critical,furniture,1872,34,,4,single,none,13 years,unknown/none,36,none,for free,3,0,1,+2345782918,yes,mangement self-employed,male
433,,24,critical,repairs,2058,71,3 years,4,divorced,none,7 months,real estate,33,none,own,2,0,1,+2348795709,yes,skilled employee,male
434,-21,9,repaid,furniture,2136,71,2 years,3,single,none,0 months,real estate,25,none,own,1,0,1,,yes,skilled employee,male
435,87,12,repaid,radio/tv,1484,,1 years,2,married,none,,real estate,25,none,own,1,1,1,+2349610479,yes,skilled employee,male
436,,6,repaid,repairs,660,561,5 years,2,married,none,8 years,real estate,23,none,rent,1,0,1,,yes,unskilled resident,male
437,,24,critical,car (new),1287,18318,12 years,4,,none,5 years,real estate,37,none,own,2,0,1,+2348554603,yes,skilled employee,female
438,-7,42,critical,repairs,3394,61,,4,single,co-applicant,20 years,other,65,none,own,2,0,1,,yes,unemployed non-resident,male
439,397,12,fully repaid this bank,business,609,74,3 months,4,,none,,real estate,26,none,own,1,1,1,,yes,unemployed non-resident,female
440,,12,repaid,car (new),1884,89,9 years,4,single,none,18 years,other,39,none,own,1,0,1,+2346616072,yes,mangement self-employed,male
441,-22,12,repaid,furniture,1620,29,3 years,2,,co-applicant,1 years,building society savings,30,none,own,1,0,1,,yes,skilled employee,female
442,110,20,delayed,others,2629,40,2 years,2,single,none,2 years,other,29,bank,own,2,0,1,+2348724903,yes,skilled employee,male
443,,12,repaid,education,719,32,13 years,4,single,none,10 years,other,41,bank,own,1,1,2,,yes,unskilled resident,male
444,69,48,critical,furniture,5096,95,2 years,2,,none,1 years,other,30,none,own,1,1,1,+2349440166,yes,mangement self-employed,female
445,,9,critical,education,1244,,12 years,4,,none,16 years,building society savings,41,none,rent,2,0,1,,yes,unskilled resident,female
446,-24,36,repaid,car (new),1842,3,8 months,4,,none,24 years,other,34,none,own,1,1,1,+2341202327,yes,skilled employee,female
447,82,7,repaid,radio/tv,2576,18,3 years,2,single,guarantor,1 months,real estate,35,none,own,1,0,1,,yes,skilled employee,male
448,745,12,repaid,furniture,1424,,13 years,3,,none,12 years,real estate,55,none,own,1,0,1,+2340204247,yes,mangement self-employed,female
449,190,15,delayed,repairs,1512,1525,1 years,3,married,none,1 years,building society savings,61,stores,own,2,1,1,,yes,skilled employee,male
450,,36,critical,car (used),11054,,3 years,4,single,none,3 months,other,30,none,own,1,0,1,+2344650026,yes,mangement self-employed,male
451,,6,repaid,radio/tv,518,26,1 years,3,,none,,real estate,29,none,own,1,0,1,,yes,skilled employee,female
452,,12,fully repaid,furniture,2759,83,12 years,2,single,none,15 years,building society savings,34,none,own,2,0,1,,yes,skilled employee,male
453,,24,repaid,car (used),2670,86,19 years,4,single,none,22 years,other,35,none,own,1,0,1,+2348455291,yes,mangement self-employed,male
454,-45,24,repaid,car (new),4817,87,7 years,2,single,co-applicant,2 years,building society savings,31,none,own,1,1,1,+2344939820,yes,skilled employee,male
455,,24,repaid,car (used),2679,35,8 months,4,,none,,unknown/none,29,none,own,1,0,1,+2347787613,yes,mangement self-employed,female
456,-8,11,critical,car (new),3905,96,1 years,2,single,none,11 months,real estate,36,none,rent,2,0,2,,yes,skilled employee,male
457,-38,12,repaid,car (used),3386,87,17 years,3,single,none,13 years,unknown/none,35,none,for free,1,1,1,+2346087494,yes,skilled employee,male
458,-37,6,repaid,domestic appliances,343,30,10 months,4,,none,,real estate,27,none,own,1,0,1,,yes,skilled employee,female
459,,18,repaid,radio/tv,4594,68,4 months,3,single,none,0 months,other,32,none,own,1,0,1,+2345935542,yes,skilled employee,male
460,-29,36,repaid,furniture,3620,62,3 years,1,single,guarantor,9 months,building society savings,37,none,own,1,0,2,,yes,skilled employee,male
461,-43,15,repaid,car (new),1721,22,7 months,2,single,none,2 years,real estate,36,none,own,1,0,1,,yes,skilled employee,male
462,168,12,repaid,furniture,3017,91,9 months,3,,none,,real estate,34,none,rent,1,0,1,,yes,mangement self-employed,female
463,82,12,repaid,retraining,754,,13 years,4,single,none,19 years,building society savings,38,none,own,2,0,1,,yes,skilled employee,male
464,,18,repaid,business,1950,53,4 years,4,single,none,,other,34,stores,own,2,0,1,+2341006016,yes,skilled employee,male
465,-24,24,repaid,car (used),2924,37,3 years,3,single,guarantor,6 years,unknown/none,63,bank,own,1,0,2,+2345761408,yes,skilled employee,male
466,-47,24,delayed,radio/tv,1659,88,11 months,4,,none,10 months,other,29,none,rent,1,1,1,+2342121614,yes,unskilled resident,female
467,,48,delayed,radio/tv,7238,,12 years,3,single,none,1 years,other,32,bank,own,2,0,2,,yes,skilled employee,male
468,,33,delayed,business,2764,15,1 years,2,,none,3 months,other,26,none,own,2,0,1,+2340038383,yes,skilled employee,female
469,,24,delayed,car (used),4679,25,4 years,3,single,none,4 years,other,35,none,own,2,0,1,+2349752160,yes,unskilled resident,male
470,150,24,repaid,radio/tv,3092,168,11 months,3,married,none,2 months,other,22,none,rent,1,1,1,+2348009731,yes,skilled employee,male
471,-42,6,repaid,education,448,52,7 months,4,,none,22 years,building society savings,23,none,own,1,1,1,,yes,skilled employee,female
472,-45,9,repaid,car (new),654,98,3 years,4,single,none,4 years,other,28,none,own,1,1,1,,yes,unskilled resident,male
473,,6,repaid,retraining,1238,,,4,single,none,15 years,building society savings,36,none,own,1,0,2,+2344448318,yes,mangement self-employed,male
474,116,18,critical,radio/tv,1245,33,2 years,4,married,none,1 months,other,33,none,own,1,1,1,,yes,skilled employee,male
475,-46,18,fully repaid,furniture,3114,69,3 months,1,,none,10 years,building society savings,26,none,rent,1,1,1,,yes,skilled employee,female
476,,39,repaid,car (used),2569,817,3 years,4,single,none,16 years,other,24,none,own,1,0,1,,yes,skilled employee,male
477,282,24,repaid,radio/tv,5152,16,5 years,4,single,none,8 months,other,25,bank,own,1,0,1,,yes,skilled employee,male
478,174,12,repaid,business,1037,126,5 years,3,single,none,12 years,real estate,39,none,own,1,0,1,,yes,unskilled resident,male
479,-33,15,critical,furniture,1478,54,15 years,4,single,none,18 years,other,44,none,own,2,0,2,+2346586815,yes,skilled employee,male
480,167,12,critical,radio/tv,3573,31,3 years,1,,none,,real estate,23,none,own,1,0,1,,yes,unskilled resident,female
481,138,24,repaid,car (new),1201,1,6 months,4,single,none,,building society savings,26,none,own,1,0,1,,yes,skilled employee,male
482,-44,30,repaid,furniture,3622,14957,14 years,4,,none,6 years,building society savings,57,none,rent,2,0,1,+2340881961,yes,skilled employee,female
483,,15,delayed,furniture,960,16242,4 years,3,,none,2 months,building society savings,30,none,own,2,0,1,,yes,skilled employee,female
484,,12,critical,car (new),1163,704,1 years,4,single,none,17 years,real estate,44,none,own,1,0,1,+2347461778,yes,skilled employee,male
485,72,6,delayed,car (new),1209,9,,4,single,none,9 years,building society savings,47,none,own,1,1,1,+2348774440,yes,mangement self-employed,male
486,,12,repaid,radio/tv,3077,70,3 years,2,single,none,12 years,other,52,none,own,1,0,1,+2342882012,yes,skilled employee,male
487,,24,repaid,car (new),3757,36,15 years,4,,co-applicant,5 years,unknown/none,62,none,for free,1,0,1,+2344474567,yes,skilled employee,female
488,,10,repaid,car (new),1418,388,1 years,3,single,none,1 months,real estate,35,none,rent,1,0,1,,no,unskilled resident,male
489,,6,repaid,car (new),3518,30,2 years,2,single,guarantor,4 years,building society savings,26,none,rent,1,0,1,,yes,skilled employee,male
490,,12,critical,radio/tv,1934,50,7 years,2,single,none,7 months,unknown/none,26,none,own,2,0,1,,yes,skilled employee,male
491,155,27,fully repaid,business,8318,76,10 years,2,,none,11 years,unknown/none,42,none,for free,2,1,1,+2345307699,yes,mangement self-employed,female
492,,6,critical,radio/tv,1237,153,1 years,1,,none,,building society savings,27,none,own,2,0,1,,yes,skilled employee,female
493,182,6,repaid,radio/tv,368,,15 years,4,single,none,22 years,building society savings,38,none,own,1,0,1,,yes,skilled employee,male
494,-12,12,critical,car (new),2122,11,2 years,3,single,none,2 months,real estate,39,none,rent,2,0,2,,no,unskilled resident,male
495,-26,24,repaid,furniture,2996,,3 years,2,married,none,9 years,other,20,none,own,1,1,1,,yes,skilled employee,male
496,74,36,repaid,furniture,9034,305,9 months,4,single,co-applicant,,unknown/none,29,none,rent,1,1,1,+2346247361,yes,mangement self-employed,male
497,,24,critical,furniture,1585,30,4 years,4,single,none,2 years,building society savings,40,none,own,2,0,1,,yes,skilled employee,male
498,153,18,repaid,radio/tv,1301,88,19 years,4,married,guarantor,0 months,real estate,32,none,own,1,0,1,,yes,unskilled resident,male
499,288,6,critical,car (new),1323,283,18 years,2,divorced,none,20 years,other,28,none,own,2,0,2,+2341437370,yes,skilled employee,male
500,-4,24,repaid,car (new),3123,60,2 months,4,,none,,building society savings,27,none,own,1,1,1,,yes,skilled employee,female
501,-20,36,repaid,car (used),5493,51,14 years,2,single,none,10 years,unknown/none,42,none,for free,1,0,2,,yes,skilled employee,male
502,495,9,repaid,radio/tv,1126,106,15 years,2,divorced,none,19 years,real estate,49,none,own,1,0,1,,yes,skilled employee,male
503,148,24,critical,radio/tv,1216,329,7 months,4,single,none,16 years,unknown/none,38,bank,own,2,1,2,,yes,skilled employee,male
504,-30,24,repaid,car (new),1207,48,4 months,4,,none,7 years,building society savings,24,none,rent,1,1,1,,yes,skilled employee,female
505,,10,repaid,car (new),1309,,3 years,4,single,guarantor,16 years,building society savings,27,none,own,1,1,1,,yes,unskilled resident,male
506,562,15,critical,car (used),2360,559,3 years,2,single,none,9 months,other,36,none,own,1,0,1,+2340163349,yes,skilled employee,male
507,190,15,fully repaid this bank,car (new),6850,219,,1,single,none,7 months,building society savings,34,none,own,1,1,2,+2344936130,yes,mangement self-employed,male
508,,24,repaid,radio/tv,1413,76,2 years,4,married,none,4 months,building society savings,28,none,own,1,0,1,,yes,skilled employee,male
509,,39,repaid,car (used),8588,206,8 years,4,single,none,7 months,other,45,none,own,1,0,1,+2344661558,yes,mangement self-employed,male
510,-34,12,repaid,car (new),759,46,7 years,4,single,none,3 months,real estate,26,none,own,1,1,1,,yes,skilled employee,male
511,,36,repaid,car (used),4686,83,2 years,2,single,none,11 months,unknown/none,32,none,for free,1,0,1,+2342070880,yes,mangement self-employed,male
512,435,15,repaid,business,2687,70,7 years,2,single,none,5 years,building society savings,26,none,rent,1,0,1,+2348823425,yes,skilled employee,male
513,108,12,delayed,radio/tv,585,30,2 years,4,married,co-applicant,12 years,real estate,20,none,rent,2,0,1,,yes,skilled employee,male
514,,24,repaid,car (new),2255,,6 months,4,single,none,,building society savings,54,none,own,1,0,1,,yes,skilled employee,male
515,-32,6,critical,car (new),609,65,6 years,4,,none,3 years,building society savings,37,none,own,2,0,1,,no,skilled employee,female
516,-38,6,critical,car (new),1361,19,9 months,2,single,none,13 years,real estate,40,none,own,1,0,2,,no,unskilled resident,male
517,,36,critical,furniture,7127,52,0 months,2,,none,15 years,building society savings,23,none,rent,2,1,1,+2346817938,yes,skilled employee,female
518,-22,6,repaid,car (new),1203,199,12 years,3,single,none,10 months,building society savings,43,none,own,1,0,1,+2342926088,yes,skilled employee,male
519,,6,critical,radio/tv,700,,11 years,4,single,none,20 years,unknown/none,36,none,for free,2,0,1,,yes,skilled employee,male
520,,24,critical,repairs,5507,25,13 years,3,single,none,14 years,unknown/none,44,none,for free,2,0,1,,yes,skilled employee,male
521,-39,18,repaid,radio/tv,3190,89,2 years,2,,none,0 months,real estate,24,none,own,1,1,1,,yes,skilled employee,female
522,-24,48,fully repaid,furniture,7119,55,1 years,3,single,none,22 years,unknown/none,53,none,for free,2,1,2,,yes,skilled employee,male
523,,24,repaid,car (used),3488,361,6 years,3,,none,14 years,other,23,none,own,1,0,1,,yes,skilled employee,female
524,22,18,repaid,radio/tv,1113,40,1 years,4,,guarantor,17 years,real estate,26,none,own,1,0,2,,yes,unskilled resident,female
525,29,26,repaid,car (used),7966,86,4 months,2,single,none,2 years,other,30,none,own,2,0,1,,yes,skilled employee,male
526,,15,critical,education,1532,410,1 years,4,,none,3 years,other,31,none,own,1,0,1,,yes,skilled employee,female
527,,4,critical,radio/tv,1503,57,7 years,2,single,none,,real estate,42,none,own,2,0,2,,yes,unskilled resident,male
528,-22,36,repaid,radio/tv,2302,73,3 years,4,divorced,none,6 years,other,31,none,rent,1,1,1,,yes,skilled employee,male
529,-39,6,repaid,car (new),662,13,11 months,3,single,none,11 years,real estate,41,none,own,1,0,2,+2341176034,yes,unskilled resident,male
530,127,36,repaid,education,2273,57,4 years,3,single,none,,other,32,none,own,2,0,2,,yes,skilled employee,male
531,192,15,repaid,car (new),2631,214,3 years,2,,none,17 years,other,28,none,rent,2,1,1,+2345191471,yes,skilled employee,female
532,,12,delayed,car (used),1503,17,3 years,4,married,none,24 years,real estate,41,none,rent,1,0,1,,yes,skilled employee,male
533,,24,repaid,radio/tv,1311,164,6 years,4,married,none,3 years,building society savings,26,none,own,1,0,1,+2342368135,yes,skilled employee,male
534,,24,repaid,radio/tv,3105,,3 months,4,single,none,1 months,other,25,none,own,2,0,1,,yes,skilled employee,male
535,821,21,critical,education,2319,29,9 months,2,divorced,none,,other,33,none,rent,1,1,1,,yes,skilled employee,male
536,-9,6,repaid,car (new),1374,,,4,,none,3 years,building society savings,75,none,own,1,0,1,+2340000335,yes,mangement self-employed,female
537,71,18,critical,furniture,3612,19,11 years,3,,none,17 years,building society savings,37,none,own,1,0,1,+2344622805,yes,skilled employee,female
538,-43,48,repaid,car (new),7763,19,11 years,4,single,none,8 years,unknown/none,42,bank,for free,1,1,1,,yes,mangement self-employed,male
539,782,18,repaid,furniture,3049,5,7 months,1,,none,,building society savings,45,stores,own,1,0,1,,yes,unskilled resident,female
540,2,12,repaid,radio/tv,1534,57,3 months,1,married,none,,real estate,23,none,rent,1,1,1,,yes,skilled employee,male
541,,24,delayed,car (new),2032,71,13 years,4,single,none,8 years,unknown/none,60,none,for free,2,0,1,+2341912103,yes,skilled employee,male
542,-22,30,repaid,furniture,6350,,15 years,4,single,none,21 years,building society savings,31,none,own,1,1,1,,yes,skilled employee,male
543,989,18,repaid,furniture,2864,80,3 years,2,single,none,,real estate,34,none,own,1,1,2,,yes,unskilled resident,male
544,,12,critical,car (new),1255,4,19 years,4,single,none,14 years,real estate,61,none,own,2,0,1,,yes,unskilled resident,male
545,-8,24,delayed,car (new),1333,38,,4,single,none,11 months,real estate,43,none,for free,2,1,2,,yes,skilled employee,male
546,,24,critical,car (new),2022,80,3 years,4,,none,8 years,other,37,none,own,1,0,1,+2344365765,yes,skilled employee,female
547,,24,repaid,radio/tv,1552,76,7 years,3,single,none,,other,32,bank,own,1,0,2,,yes,skilled employee,male
548,-27,12,fully repaid this bank,radio/tv,626,46,2 years,4,,none,8 years,real estate,24,bank,own,1,1,1,,yes,unskilled resident,female
549,,48,critical,car (used),8858,,4 years,2,single,none,,unknown/none,35,none,for free,2,0,1,+2348565327,yes,skilled employee,male
550,,12,critical,repairs,996,,6 years,4,,none,12 years,real estate,23,none,own,2,0,1,,yes,skilled employee,female
551,,6,fully repaid this bank,radio/tv,1750,516,12 years,2,single,none,9 years,building society savings,45,bank,own,1,0,2,,yes,unskilled resident,male
552,-33,48,repaid,radio/tv,6999,51,5 years,1,married,guarantor,,real estate,34,none,own,2,1,1,+2347741519,yes,skilled employee,male
553,94,12,critical,car (new),1995,483,10 months,4,single,none,,other,27,none,own,1,0,1,,yes,skilled employee,male
554,138,9,repaid,education,1199,37,6 years,4,,none,23 years,building society savings,67,none,own,2,0,1,+2344468754,yes,mangement self-employed,female
555,102,12,repaid,radio/tv,1331,50,7 months,2,single,none,,other,22,stores,own,1,1,1,,yes,skilled employee,male
556,33,18,fully repaid,car (new),2278,406,1 months,3,,none,1 years,other,28,none,own,2,1,1,,yes,skilled employee,female
557,,21,fully repaid,car (new),5003,,3 years,1,,none,8 years,building society savings,29,bank,own,2,1,1,+2347367998,yes,skilled employee,female
558,-5,24,fully repaid this bank,furniture,3552,50,6 years,3,single,none,22 years,other,27,bank,own,1,1,1,,yes,skilled employee,male
559,115,18,critical,furniture,1928,80,9 months,2,single,none,5 months,real estate,31,none,own,2,1,1,,yes,unskilled resident,male
560,-22,24,repaid,car (used),2964,,13 years,4,single,none,24 years,unknown/none,49,bank,for free,1,0,2,+2340541899,yes,skilled employee,male
561,-1,24,fully repaid this bank,radio/tv,1546,22,4 years,4,single,guarantor,24 years,other,24,bank,rent,1,1,1,,yes,unskilled resident,male
562,376,6,delayed,radio/tv,683,32,9 months,2,,none,,building society savings,29,bank,own,1,0,1,,yes,skilled employee,female
563,82,36,repaid,car (new),12389,,3 years,1,single,none,5 years,unknown/none,37,none,for free,1,1,1,+2342880495,yes,skilled employee,male
564,85,24,delayed,business,4712,,3 years,4,single,none,10 months,building society savings,37,bank,own,2,0,1,+2344868309,yes,mangement self-employed,male
565,150,24,delayed,radio/tv,1553,205,4 years,3,,none,1 months,building society savings,23,none,rent,2,0,1,+2340023374,yes,skilled employee,female
566,-2,12,repaid,car (new),1372,52,7 years,2,divorced,none,4 years,other,36,none,own,1,1,1,,yes,skilled employee,male
567,,24,critical,radio/tv,2578,19342,15 years,2,single,none,0 months,other,34,none,own,1,0,1,,yes,skilled employee,male
568,38,48,repaid,radio/tv,3979,,6 years,4,single,none,,other,41,none,own,2,0,2,+2344812469,yes,skilled employee,male
569,-13,48,repaid,radio/tv,6758,14,2 years,3,,none,0 months,other,31,none,own,1,1,1,+2348675631,yes,skilled employee,female
570,-2,24,repaid,furniture,3234,74,0 months,4,,none,9 years,real estate,23,none,rent,1,1,1,+2344173321,yes,unskilled resident,female
571,,30,critical,radio/tv,5954,15,4 years,3,single,co-applicant,0 months,other,38,none,own,1,0,1,,yes,skilled employee,male
572,,24,repaid,car (used),5433,,,2,,none,6 years,building society savings,26,none,rent,1,0,1,+2349547733,yes,mangement self-employed,female
573,-6,15,repaid,business,806,95,1 years,4,,none,16 years,building society savings,22,none,own,1,0,1,,yes,unskilled resident,female
574,181,9,repaid,radio/tv,1082,19,18 years,4,single,none,22 years,other,27,none,own,2,0,1,,yes,unskilled resident,male
575,,15,critical,furniture,2788,97,4 years,2,,co-applicant,4 years,other,24,bank,own,2,0,1,,yes,skilled employee,female
576,102,12,repaid,radio/tv,2930,36,7 years,2,,none,,real estate,27,none,own,1,0,1,,yes,skilled employee,female
577,,24,critical,education,1927,,1 years,3,,none,8 months,other,33,none,own,2,0,1,+2344307158,yes,skilled employee,female
578,140,36,critical,car (new),2820,11,11 months,4,divorced,none,24 years,other,27,none,own,2,1,1,,yes,skilled employee,male
579,,24,repaid,retraining,937,1,9 months,4,married,none,2 years,other,27,none,own,2,0,1,,yes,unskilled resident,male
580,79,18,critical,car (new),1056,90,10 years,3,single,guarantor,4 years,real estate,30,bank,own,2,1,1,,yes,skilled employee,male
581,76,12,critical,car (new),3124,6,8 months,1,single,none,3 years,real estate,49,bank,own,2,0,2,,yes,unskilled resident,male
582,,9,repaid,furniture,1388,30,1 years,4,,none,6 months,real estate,26,none,rent,1,0,1,,yes,skilled employee,female
583,196,36,repaid,repairs,2384,47,8 months,4,single,none,,unknown/none,33,none,rent,1,1,1,,yes,unskilled resident,male
584,,12,repaid,car (new),2133,,17 years,4,,none,24 years,unknown/none,52,none,for free,1,0,1,+2349922974,yes,mangement self-employed,female
585,-41,18,repaid,furniture,2039,0,3 years,1,,none,9 years,real estate,20,bank,rent,1,1,1,,yes,skilled employee,female
586,-24,9,critical,car (new),2799,31,1 years,2,single,none,5 months,real estate,36,none,rent,2,0,2,,yes,skilled employee,male
587,-38,12,repaid,furniture,1289,92,1 years,4,single,guarantor,,building society savings,21,none,own,1,0,1,,yes,unskilled resident,male
588,-31,18,repaid,domestic appliances,1217,1,3 years,4,married,none,3 years,real estate,47,none,own,1,1,1,+2344960836,yes,unskilled resident,male
589,-6,12,critical,furniture,2246,17,9 years,3,single,none,4 years,building society savings,60,none,own,2,1,1,,yes,skilled employee,male
590,-21,12,critical,radio/tv,385,60,5 years,4,,none,3 years,real estate,58,none,own,4,0,1,+2348814936,yes,unskilled resident,female
591,14,24,delayed,car (new),1965,,2 years,4,,none,19 years,other,42,none,rent,2,0,1,+2345266144,yes,skilled employee,female
592,,21,repaid,business,1572,19485,7 years,4,,none,12 years,real estate,36,bank,own,1,0,1,,yes,unskilled resident,female
593,131,24,repaid,car (new),2718,53,1 years,3,,none,20 years,building society savings,20,none,rent,1,1,1,+2341173079,yes,unskilled resident,female
594,-8,24,fully repaid this bank,others,1358,,13 years,4,single,none,4 years,other,40,stores,own,1,1,1,+2349032639,yes,mangement self-employed,male
595,16,6,fully repaid this bank,car (new),931,213,9 months,1,,none,,building society savings,32,stores,own,1,1,1,,yes,unskilled resident,female
596,-11,24,repaid,car (new),1442,89,6 years,4,,none,7 years,other,23,none,rent,2,1,1,,yes,skilled employee,female
597,71,24,fully repaid,business,4241,24,3 years,1,single,none,20 years,real estate,36,none,own,3,1,1,+2343985284,yes,unskilled resident,male
598,,18,critical,car (new),2775,13,4 years,2,single,none,8 months,building society savings,31,bank,own,2,1,1,,yes,skilled employee,male
599,,24,delayed,business,3863,98,2 years,1,single,none,3 months,unknown/none,32,none,for free,1,0,1,,yes,skilled employee,male
600,5,7,repaid,radio/tv,2329,82,8 months,1,,guarantor,,real estate,45,none,own,1,0,1,,yes,skilled employee,female
601,177,9,repaid,furniture,918,86,1 years,4,,none,,building society savings,30,none,own,1,1,1,,yes,skilled employee,female
602,187,24,fully repaid this bank,education,1837,89,7 years,4,,none,23 years,unknown/none,34,bank,for free,1,1,1,,yes,unskilled resident,female
603,,36,repaid,furniture,3349,0,1 years,4,,none,5 months,other,28,none,own,1,1,1,+2346873155,yes,mangement self-employed,female
604,553,10,repaid,furniture,1275,42,0 months,4,,none,11 months,building society savings,23,none,own,1,0,1,,yes,skilled employee,female
605,-42,24,fully repaid this bank,furniture,2828,557,1 years,4,single,none,23 years,real estate,22,stores,own,1,0,1,+2344009465,yes,skilled employee,male
606,,24,critical,business,4526,60,2 years,3,single,none,5 months,real estate,74,none,own,1,0,1,+2341829220,yes,mangement self-employed,male
607,70,36,repaid,radio/tv,2671,241,1 years,4,,co-applicant,5 years,unknown/none,50,none,for free,1,1,1,,yes,skilled employee,female
608,,18,repaid,radio/tv,2051,0,6 months,4,single,none,,real estate,33,none,own,1,0,1,,yes,skilled employee,male
609,,15,repaid,car (used),1300,,10 years,4,single,none,18 years,unknown/none,45,bank,for free,1,0,2,,yes,skilled employee,male
610,-23,12,repaid,domestic appliances,741,408,,4,,none,2 years,building society savings,22,none,own,1,1,1,,yes,skilled employee,female
611,222,10,repaid,car (new),1240,478,16 years,1,,none,22 years,unknown/none,48,none,for free,1,1,2,,yes,unskilled resident,female
612,-48,21,repaid,radio/tv,3357,3138,9 months,4,,none,1 months,other,29,bank,own,1,0,1,,yes,skilled employee,female
613,-18,24,fully repaid this bank,car (used),3632,57,1 years,1,,guarantor,13 years,other,22,bank,rent,1,0,1,,no,skilled employee,female
614,,18,delayed,furniture,1808,3,6 years,4,,none,,real estate,22,none,own,1,1,1,,yes,skilled employee,female
615,179,48,fully repaid,business,12204,,1 years,2,single,none,9 months,other,48,bank,own,1,0,1,+2340188514,yes,mangement self-employed,male
616,168,60,delayed,radio/tv,9157,,3 years,2,single,none,1 months,unknown/none,27,none,for free,1,0,1,,yes,mangement self-employed,male
617,-37,6,critical,car (new),3676,5,3 years,1,single,none,3 years,real estate,37,none,rent,3,0,2,,yes,skilled employee,male
618,94,30,repaid,furniture,3441,315,1 years,2,,co-applicant,17 years,other,21,none,rent,1,1,1,,yes,skilled employee,female
619,,12,repaid,car (new),640,88,2 years,4,divorced,none,0 months,real estate,49,none,own,1,0,1,,yes,unskilled resident,male
620,137,21,critical,business,3652,49,4 years,2,single,none,2 years,building society savings,27,none,own,2,0,1,,yes,skilled employee,male
621,,18,critical,car (new),1530,60,3 years,3,single,none,0 months,building society savings,32,bank,own,2,1,1,,yes,skilled employee,male
622,,48,repaid,business,3914,,2 years,4,divorced,none,3 months,real estate,38,bank,own,1,1,1,,yes,skilled employee,male
623,-19,12,repaid,furniture,1858,35,4 months,4,,none,,other,22,none,rent,1,0,1,,yes,skilled employee,female
624,-27,18,repaid,radio/tv,2600,47,2 years,4,single,none,23 years,unknown/none,65,none,for free,2,1,1,,yes,skilled employee,male
625,,15,repaid,radio/tv,1979,,11 years,4,single,none,1 months,other,35,none,own,1,0,1,,yes,skilled employee,male
626,926,6,repaid,furniture,2116,34,1 years,2,single,none,9 months,real estate,41,none,own,1,0,1,+2343568152,yes,skilled employee,male
627,73,9,fully repaid this bank,car (new),1437,473,5 years,2,single,none,4 years,unknown/none,29,none,own,1,1,1,,yes,skilled employee,male
628,,42,critical,furniture,4042,806,3 years,4,single,none,21 years,real estate,36,none,own,2,0,1,+2341826465,yes,skilled employee,male
629,,9,repaid,education,3832,,17 years,1,single,none,13 years,real estate,64,none,own,1,0,1,,yes,unskilled resident,male
630,-19,24,repaid,radio/tv,3660,29,1 years,2,,none,24 years,other,28,none,own,1,0,1,,yes,skilled employee,female
631,-39,18,fully repaid this bank,furniture,1553,29,1 years,4,single,none,3 years,other,44,bank,own,1,1,1,,yes,skilled employee,male
632,85,15,repaid,radio/tv,1444,,9 months,4,single,none,,building society savings,23,none,own,1,0,1,,yes,skilled employee,male
633,,9,repaid,furniture,1980,31,11 months,2,,co-applicant,3 months,other,19,none,rent,2,1,1,,yes,skilled employee,female
634,51,24,repaid,car (new),1355,56,11 months,3,,none,14 years,other,25,none,own,1,1,1,+2348743348,yes,unskilled resident,female
635,,12,repaid,education,1393,60,7 years,4,single,none,11 years,building society savings,47,bank,own,3,0,2,+2348644962,yes,skilled employee,male
636,,24,repaid,radio/tv,1376,719,4 years,4,,none,,other,28,none,own,1,0,1,,yes,skilled employee,female
637,,60,delayed,radio/tv,15653,6,7 years,2,single,none,18 years,other,21,none,own,2,0,1,+2346153067,yes,skilled employee,male
638,,12,repaid,radio/tv,1493,89,3 months,4,,none,2 years,other,34,none,own,1,0,2,,yes,skilled employee,female
639,-12,42,delayed,radio/tv,4370,1,6 years,3,single,none,8 months,building society savings,26,bank,own,2,1,2,+2343942339,yes,skilled employee,male
640,-30,18,repaid,education,750,33,,4,,none,,real estate,27,none,own,1,1,1,,yes,unemployed non-resident,female
641,120,15,repaid,repairs,1308,15,14 years,4,single,none,7 years,other,38,none,own,2,0,1,,yes,unskilled resident,male
642,,15,repaid,education,4623,413,3 years,3,single,none,9 months,building society savings,40,none,own,1,1,1,+2347047323,yes,mangement self-employed,male
643,,24,critical,radio/tv,1851,27,5 years,4,married,guarantor,10 months,other,33,none,own,2,0,1,+2341892936,yes,skilled employee,male
644,-36,18,critical,radio/tv,1880,25,7 years,4,married,none,,building society savings,32,none,own,2,0,1,+2348609414,yes,mangement self-employed,male
645,,36,delayed,business,7980,,8 months,4,single,none,18 years,other,27,none,rent,2,1,1,+2348009260,yes,skilled employee,male
646,-36,30,fully repaid,furniture,4583,99,2 years,2,divorced,guarantor,8 months,real estate,32,none,own,2,0,1,,yes,skilled employee,male
